transaction_id,customer_id,product_id,product_name,category,quantity,unit_price,amount,payment_method,status,transaction_timestamp,city
T0050001,C04141,P007,Jeans,Fashion,4,2095,8380,UPI,SUCCESS,2026-08-23 00:38:26,Jaipur
T0050002,C01880,P019,Bedsheet,Home,5,1787,8935,UPI,PENDING,2026-08-23 13:25:02,Mumbai
T0050003,C03727,P018,Lamp,Home,1,1147,1147,UPI,SUCCESS,2026-08-23 14:01:37,Bangalore
T0050004,C03811,P002,Mobile,Electronics,2,21997,43994,UPI,FAILED,2026-08-23 09:48:36,Noida
T0050005,C02251,P007,Jeans,Fashion,4,1842,7368,COD,PENDING,2026-08-23 17:36:41,Ahmedabad
T0050006,C01651,P009,T-Shirt,Fashion,2,992,1984,NETBANKING,SUCCESS,2026-08-23 22:27:25,Bangalore
T0050007,C02977,P018,Lamp,Home,4,1415,5660,WALLET,SUCCESS,2026-08-23 11:50:15,Pune
T0050008,C04720,P003,Headphones,Electronics,3,2325,6975,COD,SUCCESS,2026-08-23 06:47:25,Mumbai
T0050009,C00426,P024,Dumbbells,Sports,4,5287,21148,CARD,SUCCESS,2026-08-23 16:28:09,Mumbai
T0050010,C04622,P020,Cookware,Home,3,2611,7833,NETBANKING,SUCCESS,2026-08-23 06:33:59,Pune
T0050011,C00090,P008,Jacket,Fashion,4,3084,12336,WALLET,SUCCESS,2026-08-23 22:53:16,Jaipur
T0050012,C00441,P018,Lamp,Home,2,1303,2606,NETBANKING,PENDING,2026-08-23 22:09:36,Jaipur
T0050013,C04986,P005,Smartwatch,Electronics,5,6291,31455,UPI,SUCCESS,2026-08-23 04:12:38,Hyderabad
T0050014,C03085,P019,Bedsheet,Home,5,1815,9075,UPI,PENDING,2026-08-23 00:09:58,Hyderabad
T0050015,C02616,P020,Cookware,Home,4,2560,10240,NETBANKING,PENDING,2026-08-23 09:28:59,Pune
T0050016,C02574,P024,Dumbbells,Sports,5,5069,25345,NETBANKING,PENDING,2026-08-23 09:29:26,Mumbai
T0050017,C00518,P024,Dumbbells,Sports,2,4506,9012,UPI,SUCCESS,2026-08-23 11:26:25,Pune
T0050018,C03129,P020,Cookware,Home,1,3272,3272,CARD,FAILED,2026-08-23 05:52:58,Bangalore
T0050019,C04693,P003,Headphones,Electronics,3,2360,7080,CARD,SUCCESS,2026-08-23 07:10:49,Ahmedabad
T0050020,C04161,P018,Lamp,Home,2,1381,2762,COD,SUCCESS,2026-08-23 03:34:06,Hyderabad
T0050021,C03398,P024,Dumbbells,Sports,4,4127,16508,NETBANKING,FAILED,2026-08-23 04:07:52,Ahmedabad
T0050022,C03298,P001,Laptop,Electronics,1,45583,45583,WALLET,PENDING,2026-08-23 07:53:39,Kolkata
T0050023,C04476,P005,Smartwatch,Electronics,2,6970,13940,COD,SUCCESS,2026-08-23 12:19:14,Pune
T0050024,C03185,P022,Football,Sports,2,1579,3158,UPI,PENDING,2026-08-23 01:47:16,Kolkata
T0050025,C02162,P011,Rice Bag,Grocery,1,1300,1300,UPI,SUCCESS,2026-08-23 14:12:39,Delhi
T0050026,C01602,P017,Table,Home,5,6804,34020,UPI,PENDING,2026-08-23 10:47:34,Pune
T0050027,C04616,P005,Smartwatch,Electronics,4,5601,22404,UPI,SUCCESS,2026-08-23 14:11:36,Jaipur
T0050028,C01382,P014,Flour,Grocery,5,589,2945,CARD,SUCCESS,2026-08-23 20:02:11,Ahmedabad
T0050029,C03103,P014,Flour,Grocery,1,656,656,CARD,SUCCESS,2026-08-23 20:10:04,Ahmedabad
T0050030,C02708,P005,Smartwatch,Electronics,2,6237,12474,COD,SUCCESS,2026-08-23 15:45:16,Ahmedabad
T0050031,C04136,P024,Dumbbells,Sports,5,5213,26065,NETBANKING,SUCCESS,2026-08-23 08:56:49,Pune
T0050032,C00689,P017,Table,Home,2,7486,14972,COD,PENDING,2026-08-23 07:15:44,Noida
T0050033,C02061,P001,Laptop,Electronics,1,38910,38910,CARD,FAILED,2026-08-23 13:24:11,Kolkata
T0050034,C00141,P012,Cooking Oil,Grocery,3,753,2259,UPI,FAILED,2026-08-23 06:13:21,Noida
T0050035,C01777,P020,Cookware,Home,4,3302,13208,CARD,SUCCESS,2026-08-23 16:35:19,Delhi
T0050036,C02212,P002,Mobile,Electronics,2,18988,37976,WALLET,SUCCESS,2026-08-23 03:41:58,Pune
T0050037,C02547,P011,Rice Bag,Grocery,2,1102,2204,CARD,SUCCESS,2026-08-23 14:28:51,Pune
T0050038,C03593,P009,T-Shirt,Fashion,2,860,1720,COD,SUCCESS,2026-08-23 14:31:31,Kolkata
T0050039,C03935,P015,Tea,Grocery,2,472,944,CARD,SUCCESS,2026-08-23 20:51:13,Noida
T0050040,C00182,P003,Headphones,Electronics,3,2406,7218,UPI,SUCCESS,2026-08-23 21:19:26,Chennai
T0050041,C04895,P005,Smartwatch,Electronics,1,7045,7045,WALLET,FAILED,2026-08-23 06:34:59,Noida
T0050042,C02150,P016,Chair,Home,2,4183,8366,CARD,SUCCESS,2026-08-23 15:18:33,Bangalore
T0050043,C03452,P001,Laptop,Electronics,3,44293,132879,COD,SUCCESS,2026-08-23 10:46:55,Hyderabad
T0050044,C02978,P010,Backpack,Fashion,4,1523,6092,UPI,SUCCESS,2026-08-23 09:51:13,Jaipur
T0050045,C02692,P016,Chair,Home,4,3719,14876,COD,SUCCESS,2026-08-23 01:23:17,Delhi
T0050046,C02662,P016,Chair,Home,5,3284,16420,COD,SUCCESS,2026-08-23 23:20:38,Ahmedabad
T0050047,C03150,P021,Cricket Bat,Sports,2,4090,8180,CARD,SUCCESS,2026-08-23 23:05:39,Hyderabad
T0050048,C04609,P015,Tea,Grocery,2,512,1024,NETBANKING,FAILED,2026-08-23 11:24:05,Pune
T0050049,C00468,P013,Dry Fruits,Grocery,2,1366,2732,UPI,SUCCESS,2026-08-23 06:14:08,Ahmedabad
T0050050,C02385,P003,Headphones,Electronics,4,2777,11108,COD,SUCCESS,2026-08-23 18:04:55,Pune
T0050051,C00317,P004,Television,Electronics,3,31574,94722,CARD,FAILED,2026-08-23 17:11:03,Chennai
T0050052,C03416,P023,Yoga Mat,Sports,5,942,4710,UPI,SUCCESS,2026-08-23 03:10:05,Pune
T0050053,C01350,P003,Headphones,Electronics,4,2214,8856,WALLET,PENDING,2026-08-23 09:25:39,Pune
T0050054,C04395,P009,T-Shirt,Fashion,5,1070,5350,COD,FAILED,2026-08-23 09:40:54,Hyderabad
T0050055,C04908,P006,Shoes,Fashion,4,2301,9204,UPI,SUCCESS,2026-08-23 10:06:05,Jaipur
T0050056,C00290,P011,Rice Bag,Grocery,3,1379,4137,WALLET,SUCCESS,2026-08-23 03:35:27,Delhi
T0050057,C00172,P006,Shoes,Fashion,1,2470,2470,NETBANKING,PENDING,2026-08-23 22:02:38,Kolkata
T0050058,C04035,P019,Bedsheet,Home,2,1805,3610,NETBANKING,SUCCESS,2026-08-23 12:01:15,Jaipur
T0050059,C03012,P010,Backpack,Fashion,2,1553,3106,WALLET,SUCCESS,2026-08-23 17:21:18,Mumbai
T0050060,C03264,P010,Backpack,Fashion,1,1694,1694,NETBANKING,SUCCESS,2026-08-23 23:00:33,Hyderabad
T0050061,C02335,P007,Jeans,Fashion,1,2027,2027,UPI,SUCCESS,2026-08-23 00:07:27,Bangalore
T0050062,C00233,P019,Bedsheet,Home,4,1720,6880,UPI,SUCCESS,2026-08-23 18:13:19,Kolkata
T0050063,C02901,P023,Yoga Mat,Sports,3,1039,3117,COD,PENDING,2026-08-23 16:37:19,Pune
T0050064,C01005,P010,Backpack,Fashion,5,1525,7625,NETBANKING,SUCCESS,2026-08-23 03:09:10,Chennai
T0050065,C02696,P012,Cooking Oil,Grocery,5,991,4955,NETBANKING,SUCCESS,2026-08-23 07:49:14,Pune
T0050066,C02828,P001,Laptop,Electronics,4,50339,201356,COD,SUCCESS,2026-08-23 13:05:05,Ahmedabad
T0050067,C04900,P001,Laptop,Electronics,2,42788,85576,WALLET,PENDING,2026-08-23 03:55:21,Kolkata
T0050068,C03822,P013,Dry Fruits,Grocery,3,1327,3981,NETBANKING,SUCCESS,2026-08-23 14:55:23,Jaipur
T0050069,C01647,P015,Tea,Grocery,2,526,1052,WALLET,SUCCESS,2026-08-23 02:24:48,Noida
T0050070,C00748,P015,Tea,Grocery,1,463,463,CARD,SUCCESS,2026-08-23 20:38:53,Jaipur
T0050071,C00638,P013,Dry Fruits,Grocery,2,1261,2522,CARD,SUCCESS,2026-08-23 05:42:00,Noida
T0050072,C02158,P022,Football,Sports,5,1385,6925,CARD,SUCCESS,2026-08-23 05:58:11,Mumbai
